stock_id,inv_trust,dealer,foregin_inv,total_inv_overview
2017-12-05 00:00:00,0050,0,"-144,000","-698,000","-842,000"
2017-12-06 00:00:00,0050,"-90,000","-2,186,000","-8,563,000","-10,839,000"
2017-12-07 00:00:00,0050,0,"-1,965,000","-3,737,690","-5,702,690"
2017-12-08 00:00:00,0050,0,"-1,048,000","-3,623,000","-4,671,000"
2017-12-11 00:00:00,0050,0,"-2,000","-1,757,000","-1,759,000"
2017-12-12 00:00:00,0050,"-50,000","193,000","-3,354,000","-3,211,000"
2017-12-13 00:00:00,0050,"-50,000","-90,000","-1,140,000","-1,280,000"
2017-12-14 00:00:00,0050,0,"263,000","199,000","462,000"
2017-12-15 00:00:00,0050,"-1,000,000","-66,000","-1,040,897","-2,106,897"
2017-12-18 00:00:00,0050,0,"892,000","-1,261,000","-369,000"
2017-12-19 00:00:00,0050,0,"341,000","-1,626,000","-1,285,000"
2017-12-20 00:00:00,0050,0,"1,450,180","-1,926,050","-475,870"
2017-12-21 00:00:00,0050,0,"327,000","-508,000","-181,000"
2017-12-22 00:00:00,0050,0,"462,000","-689,000","-227,000"
2017-12-25 00:00:00,0050,0,"186,000","-47,000","139,000"
2017-12-26 00:00:00,0050,0,"-560,000","-1,434,000","-1,994,000"
2017-12-27 00:00:00,0050,0,"171,000","795,000","966,000"
2017-12-28 00:00:00,0050,0,"-328,000","1,231,000","903,000"
2017-12-29 00:00:00,0050,0,"626,000","2,802,000","3,428,000"
2018-01-02 00:00:00,0050,"333,000","326,000","1,646,000","2,305,000"
2018-01-03 00:00:00,0050,0,"3,534,000","2,153,000","5,687,000"
2018-01-04 00:00:00,0050,"-200,000","2,389,000","1,618,000","3,807,000"
2018-01-05 00:00:00,0050,0,"548,000","5,749,000","6,297,000"
2018-01-08 00:00:00,0050,0,"-173,000","3,521,000","3,348,000"
2018-01-09 00:00:00,0050,0,"-819,000","1,815,000","996,000"
2018-01-10 00:00:00,0050,0,"-2,161,000","302,000","-1,859,000"
2018-01-11 00:00:00,0050,0,"-608,000","-743,000","-1,351,000"
2018-01-12 00:00:00,0050,0,"1,327,000","-39,000","1,288,000"
2018-01-15 00:00:00,0050,0,"1,229,000","80,283","1,309,283"
2018-01-16 00:00:00,0050,0,"39,000","-777,000","-738,000"
2018-01-17 00:00:00,0050,"-250,000","-1,669,000","3,541,000","1,622,000"
2018-01-18 00:00:00,0050,"257,000","2,388,000","2,646,000","5,291,000"
2018-01-19 00:00:00,0050,0,"125,000","911,000","1,036,000"
2018-01-22 00:00:00,0050,"875,000","-804,000","-520,415","-449,415"
2018-01-23 00:00:00,0050,0,"-428,000","2,157,000","1,729,000"
2018-01-24 00:00:00,0050,0,"-1,334,000","31,000","-1,303,000"
2018-01-25 00:00:00,0050,"170,000","-871,000","339,000","-362,000"
2018-01-26 00:00:00,0050,0,"-2,917,000","-2,624,000","-5,541,000"
2018-01-29 00:00:00,0050,0,"-1,654,000","-2,750,000","-4,404,000"
2018-01-30 00:00:00,0050,"-644,000","-136,000","-494,000","-1,274,000"
2018-01-31 00:00:00,0050,"-285,000","974,000","-1,222,000","-533,000"
2018-02-01 00:00:00,0050,0,"109,000","387,000","496,000"
2018-02-02 00:00:00,0050,0,"261,000","-1,960,000","-1,699,000"
2018-02-05 00:00:00,0050,"-815,000","-760,000","-3,784,000","-5,359,000"
2018-02-06 00:00:00,0050,"-1,100,000","-1,403,000","-17,799,000","-20,302,000"
2018-02-07 00:00:00,0050,0,"-1,865,000","-2,829,000","-4,694,000"
2018-02-08 00:00:00,0050,0,"-341,000","-2,581,000","-2,922,000"
2018-02-09 00:00:00,0050,0,"-236,000","-7,120,220","-7,356,220"
2018-02-12 00:00:00,0050,"-300,000","-947,000","-4,097,000","-5,344,000"
2018-02-21 00:00:00,0050,"1,100,000","2,311,000","-3,518,000","-107,000"
2018-02-22 00:00:00,0050,0,"-1,356,000","-1,511,000","-2,867,000"
2018-02-23 00:00:00,0050,"550,000","330,000","46,000","926,000"
2018-02-26 00:00:00,0050,0,"-511,000","1,377,731","866,731"
2018-02-27 00:00:00,0050,0,"-275,000","5,497,000","5,222,000"
2018-03-01 00:00:00,0050,0,"-533,000","-930,000","-1,463,000"
2018-03-02 00:00:00,0050,0,"439,000","-2,827,000","-2,388,000"
2018-03-05 00:00:00,0050,0,"452,000","-1,036,000","-584,000"
2018-03-06 00:00:00,0050,"-850,000","1,908,000","2,360,000","3,418,000"
2018-03-07 00:00:00,0050,0,"-606,000","434,000","-172,000"
2018-03-08 00:00:00,0050,0,"187,000","2,041,000","2,228,000"
2018-03-09 00:00:00,0050,0,"998,000","-155,000","843,000"
2018-03-12 00:00:00,0050,"500,000","3,642,000","3,847,000","7,989,000"
2018-03-13 00:00:00,0050,0,"5,736,000","2,026,000","7,762,000"
2018-03-14 00:00:00,0050,"600,000","-520,000","205,000","285,000"
2018-03-15 00:00:00,0050,0,"-265,000","354,000","89,000"
2018-03-16 00:00:00,0050,0,"-1,664,000","-332,000","-1,996,000"
2018-03-19 00:00:00,0050,0,"254,000","489,000","743,000"
2018-03-20 00:00:00,0050,"-1,100,000","683,000","1,311,000","894,000"
2018-03-21 00:00:00,0050,"-1,100,000","-1,104,000","3,069,716","865,716"
2018-03-22 00:00:00,0050,0,"-146,000","1,285,000","1,139,000"
2018-03-23 00:00:00,0050,0,"-5,475,000","-509,000","-5,984,000"
2018-03-26 00:00:00,0050,0,"-1,378,000","-1,869,000","-3,247,000"
2018-03-27 00:00:00,0050,0,"143,000","1,212,000","1,355,000"
2018-03-28 00:00:00,0050,0,"-3,243,000","339,000","-2,904,000"
2018-03-29 00:00:00,0050,"122,000","-1,292,000","-2,161,000","-3,331,000"
2018-03-30 00:00:00,0050,0,"-752,000","2,627,000","1,875,000"
2018-03-31 00:00:00,0050,"78,000","-53,000","83,000","108,000"
2018-04-02 00:00:00,0050,0,"-82,000","-1,362,000","-1,444,000"
2018-04-03 00:00:00,0050,0,"-1,273,000","-3,766,000","-5,039,000"
2018-04-09 00:00:00,0050,0,"2,237,000","-1,288,000","949,000"
2018-04-10 00:00:00,0050,0,"2,030,000","-44,000","1,986,000"
2018-04-11 00:00:00,0050,"940,000","167,000","-409,000","698,000"
2018-04-12 00:00:00,0050,"1,530,000","-506,000","-1,676,000","-652,000"
2018-04-13 00:00:00,0050,0,"2,258,000","-1,463,000","795,000"
2018-04-16 00:00:00,0050,0,"428,000","-124,000","304,000"
2018-04-17 00:00:00,0050,"-75,000","-1,700,000","-1,330,000","-3,105,000"
2018-04-18 00:00:00,0050,0,"875,000","-976,000","-101,000"
2018-04-19 00:00:00,0050,0,"3,507,000","-184,000","3,323,000"
2018-04-20 00:00:00,0050,"-450,000","-7,070,000","153,000","-7,367,000"
2018-04-23 00:00:00,0050,"-1,050,000","-3,092,000","-5,184,257","-9,326,257"
2018-04-24 00:00:00,0050,"-1,170,000","-2,045,000","-9,632,000","-12,847,000"
2018-04-25 00:00:00,0050,0,"-4,328,000","-10,118,000","-14,446,000"
2018-04-26 00:00:00,0050,0,"-3,560,000","-10,212,000","-13,772,000"
2018-04-27 00:00:00,0050,0,"-1,444,000","-8,452,000","-9,896,000"
2018-04-30 00:00:00,0050,0,"49,000","-1,786,000","-1,737,000"
2018-05-02 00:00:00,0050,"400,000","-94,000","-3,930,940","-3,624,940"
2018-05-03 00:00:00,0050,"6,000","-87,000","-6,255,000","-6,336,000"
2018-05-04 00:00:00,0050,0,"-761,000","-1,224,000","-1,985,000"
2018-05-07 00:00:00,0050,"-56,000","582,000","-1,349,240","-823,240"
2018-05-08 00:00:00,0050,0,"2,302,000","-754,000","1,548,000"
2018-05-09 00:00:00,0050,"1,300,000","1,119,000","-130,000","2,289,000"
2018-05-10 00:00:00,0050,0,"3,381,000","-26,000","3,355,000"
2018-05-11 00:00:00,0050,"700,000","1,134,000","12,666,160","14,500,160"
2018-05-14 00:00:00,0050,0,"2,554,000","11,592,000","14,146,000"
2018-05-15 00:00:00,0050,0,"1,085,000","3,526,000","4,611,000"
2018-05-16 00:00:00,0050,0,"-2,284,000","5,006,000","2,722,000"
2018-05-17 00:00:00,0050,0,"470,000","-155,000","315,000"
2018-05-18 00:00:00,0050,0,"1,060,000","108,000","1,168,000"
2018-05-21 00:00:00,0050,0,"1,874,000","-5,000","1,869,000"
2018-05-22 00:00:00,0050,0,"543,000","132,000","675,000"
2018-05-23 00:00:00,0050,0,"-280,000","75,000","-205,000"
2018-05-24 00:00:00,0050,0,"760,000","-28,262","731,738"
2018-05-25 00:00:00,0050,0,"1,221,000","904,000","2,125,000"
2018-05-28 00:00:00,0050,0,"1,268,000","441,000","1,709,000"
2018-05-29 00:00:00,0050,0,"73,000","-288,000","-215,000"
2018-05-30 00:00:00,0050,0,"247,000","-1,763,000","-1,516,000"
